type,council_code,council_name,cadnum,declared_ha,geom_ha,ratio,points
truncated,6520387300,с. Зарічне (Заречное),6520387300:03:001:0325,5.1602,1.8538,0.3592,5
truncated,6520387300,с. Зарічне (Заречное),6520387300:03:001:0317,5.1608,1.7868,0.3462,5
truncated,6520387300,с. Зарічне (Заречное),6520387300:01:001:0079,0.25,0.0732,0.2929,8
truncated,6520387300,с. Зарічне (Заречное),6520387300:03:001:0498,7.4882,1.9339,0.2583,18
truncated,6520387300,с. Зарічне (Заречное),6520387300:01:001:0173,0.25,0.0539,0.2155,10
truncated,6520387300,с. Зарічне (Заречное),6520387300:01:001:0090,0.2499,0.0515,0.2062,4
truncated,6520387300,с. Зарічне (Заречное),6520387300:08:016:0033,0.1127,0.0228,0.2019,4
truncated,6520387300,с. Зарічне (Заречное),6520387300:03:012:0106,5.0742,0.9888,0.1949,11
truncated,6520387300,с. Зарічне (Заречное),6520387300:03:001:0127,6.8198,1.203,0.1764,12
truncated,6520387300,с. Зарічне (Заречное),6520387300:03:001:0036,5.4678,0.8536,0.1561,10
truncated,6520387300,с. Зарічне (Заречное),6520387300:01:012:0014,0.12,0.0161,0.1341,8
truncated,6520387300,с. Зарічне (Заречное),6520387300:08:016:0097,0.1126,0.0147,0.1301,7
truncated,6520387300,с. Зарічне (Заречное),6520387300:01:033:0001,0.8075,0.1012,0.1253,10
truncated,6520387300,с. Зарічне (Заречное),6520387300:01:001:0172,0.25,0.0288,0.1153,6
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:04:024:0010,1.8322,0.911,0.4972,10
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:03:027:0030,4.0904,2.0312,0.4966,17
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:04:030:0009,1.9289,0.9169,0.4754,9
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:04:026:0003,2.1235,0.9935,0.4679,5
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:05:018:0001,1.4435,0.675,0.4676,9
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:03:001:0364,7.3696,3.3892,0.4599,32
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:04:024:0011,1.832,0.8355,0.456,5
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:03:001:0563,1.8534,0.835,0.4505,9
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:04:030:0010,1.9285,0.8608,0.4464,9
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:05:034:0003,3.5399,1.5736,0.4445,29
truncated,6520387500,с. Чорнобаївка (Чернобаевка),6520387500:03:001:0560,1.8319,0.7969,0.435,11
